summonerId,summonerLevel,tier,rank,leaguePoints,plays,wins,mostPositionId,mostPosition,mostChampionIds
xA-ulTlLsMy38TqSAu1cLVKAezHdY6eQCTV7hRTPda3BXqC6hN0lRZa8Tw,96,CHALLENGER,I,1100,442,243,2,JUNGLE,"[200, 234, 64, 145, 76]"
zEBrRaQjycAINEsw2EH813-3DYDL6zzt7po1_t_82nHCSyhP9hJQXG8QCg,203,CHALLENGER,I,1099,322,187,4,BOTTOM,"[145, 235, 910, 222, 498]"
1ZdksQGDnxbCk7ztnlnZA66VFFPuTvrdgPha7aE7Uwz4Uu4,364,CHALLENGER,I,1098,430,240,3,MIDDLE,"[518, 18, 111, 126, 12]"
NR2cQ1a8ZcnE43CKKY_ILvxtNlOqFh-DZhTraq7UddvW4zk,463,CHALLENGER,I,1098,695,375,4,BOTTOM,"[81, 145, 221, 15, 110]"
LtYUA6tsoo7480u0BZqRRtRSbkqJFLQxHYjwDpOVUkD4JzU,176,CHALLENGER,I,1097,456,251,5,UTILITY,"[526, 497, 12, 61, 111]"
T-YRM4-g5z1ZxlMGsxFE4kKAtWAL-kM-tN11WAXEAZjjQQM,295,CHALLENGER,I,1097,429,239,2,JUNGLE,"[104, 64, 234, 254, 163]"
9A_9tVtBRIpLUDM9ahvghLZeJESaqROnMo_zmKjWndJ8Ydg,1011,CHALLENGER,I,1096,1047,551,3,MIDDLE,"[61, 126, 268, 84, 777]"
ESsPPHXkaY32GKxG6A2byNs7JjTmDxS7s49BrHuc69s02yA,502,CHALLENGER,I,1095,853,451,3,MIDDLE,"[126, 13, 164, 98, 113]"
RJu47uG20VP3Yge7UJuSA8tGWQGeII2w6Rt9Nv8hGOHCd1g,207,CHALLENGER,I,1094,346,201,1,TOP,"[58, 897, 68, 266, 78]"
MSj_4ejeRleSVIy9eQuBv8h-cuNUKNFdQhP6ga4BGjgy0ERAEXnKU72iHw,93,CHALLENGER,I,1093,599,314,5,UTILITY,"[40, 421, 117, 12, 104]"
IPZpqvVwPBIiTaxKoMzTB1nygUprxg28IGiKC1rHmhs1UksttNNYayD3hw,221,CHALLENGER,I,1092,930,485,5,UTILITY,"[497, 526, 518, 111, 12]"
lelzV10Qf0FJhTPcK9XHJkCImc-mp53w6WqEec2BAbfn45Y,811,CHALLENGER,I,1091,1188,618,2,JUNGLE,"[234, 233, 163, 200, 64]"
Y5CGUnSaQDHtO2GvSbUxTBWVOHqoj57yEFImeIwjBdyT_i4,87,CHALLENGER,I,1088,754,419,1,TOP,"[126, 777, 897, 92, 114]"
